"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Itamarati de Minas (MG)","MG","6","2.108","284,6"
"Poço das Antas (RS)","RS","3","1.060","283,0"
"Cabaceiras (PB)","PB","8","2.846","281,1"
"Mirador (PR)","PR","3","1.072","279,9"
"São José do Bonfim (PB)","PB","5","1.787","279,8"
"São José das Palmeiras (PR)","PR","5","1.792","279,0"
"Arambaré (RS)","RS","5","1.794","278,7"
"Santa Mercedes (SP)","SP","4","1.439","278,0"
"Madre de Deus de Minas (MG)","MG","7","2.552","274,3"
"Buritizal (SP)","SP","6","2.188","274,2"
"Ouro Verde (SC)","SC","3","1.107","271,0"
"Inhacorá (RS)","RS","3","1.113","269,5"
"Nazaré (TO)","TO","5","1.862","268,5"
"Prado Ferreira (PR)","PR","5","1.867","267,8"
"Vila Nova do Piauí (PI)","PI","4","1.494","267,7"
"Feira Nova (PE)","PE","31","11.584","267,6"
"Nova Olímpia (PR)","PR","8","2.993","267,3"
"Dom Cavati (MG)","MG","7","2.629","266,3"
"Bom Jardim da Serra (SC)","SC","6","2.264","265,0"
"Porto Barreiro (PR)","PR","4","1.512","264,6"
"Ilha de Itamaracá (PE)","PE","29","11.011","263,4"
"Santa Bárbara do Monte Verde (MG)","MG","4","1.528","261,8"
"Confins (MG)","MG","9","3.493","257,7"
"Itaquitinga (PE)","PE","22","8.541","257,6"
"Poção (PE)","PE","15","5.842","256,8"
"Rio Preto (MG)","MG","7","2.768","252,9"
"Ribeirãozinho (MT)","MT","3","1.188","252,5"
"Itaipulândia (PR)","PR","15","5.945","252,3"
"Inhaúma (MG)","MG","8","3.186","251,1"
"Avelinópolis (GO)","GO","3","1.200","250,0"
"Cafezal do Sul (PR)","PR","5","2.003","249,6"
"Alfredo Marcondes (SP)","SP","5","2.032","246,1"
"Nova Fátima (PR)","PR","10","4.129","242,2"
"Bom Jesus da Penha (MG)","MG","5","2.065","242,1"
"Santana do Deserto (MG)","MG","5","2.067","241,9"
"Nicolau Vergueiro (RS)","RS","2","830","241,0"
"Doutor Pedrinho (SC)","SC","5","2.085","239,8"
"Santa Rita d'Oeste (SP)","SP","3","1.252","239,6"
"Sertão Santana (RS)","RS","8","3.350","238,8"
"Boa Vista do Incra (RS)","RS","3","1.268","236,6"
"Afogados da Ingazeira (PE)","PE","46","19.642","234,2"
"Major Gercino (SC)","SC","4","1.717","233,0"
"Tombos (MG)","MG","9","3.868","232,7"
"Pescador (MG)","MG","5","2.159","231,6"
"Nova Aurora (PR)","PR","12","5.187","231,3"
"Marilena (PR)","PR","8","3.468","230,7"
"Seritinga (MG)","MG","2","868","230,4"
"Campinaçu (GO)","GO","4","1.746","229,1"
"Coronel Xavier Chaves (MG)","MG","4","1.749","228,7"
"Palmitinho (RS)","RS","8","3.525","227,0"
"Tavares (RS)","RS","6","2.646","226,8"
"Nova Canaã Paulista (SP)","SP","2","885","226,0"
"Entre Rios do Sul (RS)","RS","3","1.332","225,2"
"São Bonifácio (SC)","SC","3","1.341","223,7"
"Córrego Novo (MG)","MG","3","1.342","223,5"
"Flor da Serra do Sul (PR)","PR","5","2.240","223,2"
"Protásio Alves (RS)","RS","2","896","223,2"
"Jaci (SP)","SP","8","3.607","221,8"
"Rosário do Ivaí (PR)","PR","5","2.259","221,3"
"Cana Verde (MG)","MG","6","2.713","221,2"
"Serrita (PE)","PE","21","9.505","220,9"
"Amaporã (PR)","PR","7","3.171","220,8"
"Braço do Trombudo (SC)","SC","4","1.819","219,9"
"Timbaúba (PE)","PE","60","27.403","219,0"
"Três Cachoeiras (RS)","RS","12","5.501","218,1"
"Livramento (PB)","PB","8","3.679","217,5"
"Barra do Jacaré (PR)","PR","3","1.381","217,2"
"Camargo (RS)","RS","3","1.381","217,2"
"Lagoa Bonita do Sul (RS)","RS","3","1.388","216,1"
"Anahy (PR)","PR","3","1.397","214,7"
"Borebi (SP)","SP","3","1.398","214,6"
"Adrianópolis (PR)","PR","6","2.800","214,3"
"Cunhataí (SC)","SC","2","938","213,2"
"Parnamirim (PE)","PE","23","10.793","213,1"
