"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Castelo (ES)","ES","15","19.095","78,6"
"Natividade (RJ)","RJ","6","7.640","78,5"
"Palmeirópolis (TO)","TO","3","3.822","78,5"
"Novo Oriente de Minas (MG)","MG","4","5.097","78,5"
"Cacique Doble (RS)","RS","2","2.549","78,5"
"Palestina (SP)","SP","5","6.374","78,4"
"Tramandaí (RS)","RS","22","28.055","78,4"
"Quatiguá (PR)","PR","3","3.829","78,3"
"São José de Piranhas (PB)","PB","8","10.211","78,3"
"São Lourenço do Sul (RS)","RS","17","21.699","78,3"
"São José da Varginha (MG)","MG","2","2.554","78,3"
"São Nicolau (RS)","RS","2","2.554","78,3"
"Visconde do Rio Branco (MG)","MG","17","21.723","78,3"
"Timburi (SP)","SP","1","1.278","78,2"
"Imperatriz (MA)","MA","106","135.572","78,2"
"Itapetininga (SP)","SP","65","83.153","78,2"
"Paranapanema (SP)","SP","8","10.236","78,2"
"São José (SC)","SC","103","132.072","78,0"
"Poxoréu (MT)","MT","6","7.700","77,9"
"Ouro Preto (MG)","MG","30","38.509","77,9"
"Lorena (SP)","SP","36","46.222","77,9"
"Biguaçu (SC)","SC","28","35.982","77,8"
"Itaboraí (RJ)","RJ","98","126.075","77,7"
"Teófilo Otoni (MG)","MG","57","73.330","77,7"
"Saúde (BA)","BA","5","6.435","77,7"
"Floresta do Piauí (PI)","PI","1","1.287","77,7"
"Boa Vista do Sul (RS)","RS","1","1.287","77,7"
"Governador Dix-Sept Rosado (RN)","RN","5","6.439","77,7"
"Brejolândia (BA)","BA","4","5.152","77,6"
"Congonhas (MG)","MG","22","28.340","77,6"
"Dores de Campos (MG)","MG","4","5.153","77,6"
"Cajobi (SP)","SP","4","5.156","77,6"
"Pindamonhangaba (SP)","SP","68","87.698","77,5"
"Varginha (MG)","MG","55","70.943","77,5"
"Conselheiro Lafaiete (MG)","MG","52","67.093","77,5"
"Felixlândia (MG)","MG","6","7.744","77,5"
"Holambra (SP)","SP","6","7.752","77,4"
"Arneiroz (CE)","CE","3","3.877","77,4"
"Cordeiro (RJ)","RJ","9","11.637","77,3"
"Taquarituba (SP)","SP","9","11.637","77,3"
"Dores de Guanhães (MG)","MG","2","2.587","77,3"
"Serrania (MG)","MG","3","3.883","77,3"
"Nilópolis (RJ)","RJ","67","86.799","77,2"
"Barro Preto (BA)","BA","2","2.592","77,2"
"Salvador das Missões (RS)","RS","1","1.296","77,2"
"São João das Duas Pontes (SP)","SP","1","1.297","77,1"
"Guaratuba (PR)","PR","15","19.472","77,0"
"Londrina (PR)","PR","233","302.671","77,0"
"Cruz Alta (RS)","RS","24","31.189","77,0"
"Tambaú (SP)","SP","9","11.701","76,9"
"Diamante D'Oeste (PR)","PR","2","2.602","76,9"
"Davinópolis (MA)","MA","5","6.509","76,8"
"São José dos Campos (SP)","SP","289","376.224","76,8"
"Rafael Fernandes (RN)","RN","2","2.604","76,8"
"Piraquê (TO)","TO","1","1.302","76,8"
"Mimoso do Sul (ES)","ES","10","13.023","76,8"
"Araguaína (TO)","TO","73","95.076","76,8"
"Ibiporã (PR)","PR","22","28.654","76,8"
"Taperoá (PB)","PB","6","7.815","76,8"
"Casa Branca (SP)","SP","11","14.335","76,7"
"Socorro (SP)","SP","16","20.854","76,7"
"Sumaré (SP)","SP","112","146.008","76,7"
"Itaquiraí (MS)","MS","8","10.433","76,7"
"Guaratinguetá (SP)","SP","49","63.992","76,6"
"Corinto (MG)","MG","9","11.762","76,5"
"Urucânia (MG)","MG","4","5.229","76,5"
"Baldim (MG)","MG","3","3.922","76,5"
"Soledade (RS)","RS","12","15.688","76,5"
"São Francisco do Sul (SC)","SC","21","27.461","76,5"
"Videira (SC)","SC","21","27.473","76,4"
"Pratânia (SP)","SP","2","2.618","76,4"
"Osório (RS)","RS","18","23.564","76,4"
"Joinville (SC)","SC","233","305.149","76,4"
"Nova Iguaçu (RJ)","RJ","329","430.877","76,4"
"Paty do Alferes (RJ)","RJ","11","14.407","76,4"
"Ingaí (MG)","MG","1","1.310","76,3"
"Cariacica (ES)","ES","152","199.125","76,3"
"Olho d'Água Grande (AL)","AL","2","2.621","76,3"
"Aliança do Tocantins (TO)","TO","2","2.621","76,3"
"Jucurutu (RN)","RN","7","9.176","76,3"
"Loanda (PR)","PR","9","11.802","76,3"
"Elói Mendes (MG)","MG","11","14.426","76,3"
"Iguatama (MG)","MG","3","3.935","76,2"
"Escada (PE)","PE","27","35.469","76,1"
"Tremembé (SP)","SP","17","22.345","76,1"
"Marialva (PR)","PR","14","18.405","76,1"
"Olho D'Água do Piauí (PI)","PI","1","1.315","76,0"
"Passa Tempo (MG)","MG","3","3.946","76,0"
"Gurinhatã (MG)","MG","2","2.632","76,0"
"Cubati (PB)","PB","3","3.949","76,0"
"Uniflor (PR)","PR","1","1.317","75,9"
"Itaocara (RJ)","RJ","9","11.857","75,9"
"Guarujá do Sul (SC)","SC","2","2.636","75,9"
"Miradouro (MG)","MG","4","5.273","75,9"
"Franco da Rocha (SP)","SP","59","77.883","75,8"
"Frei Miguelinho (PE)","PE","6","7.923","75,7"
"Três Pontas (MG)","MG","22","29.070","75,7"
"Natal (RN)","RN","360","475.701","75,7"
"Campos Novos (SC)","SC","14","18.513","75,6"
"Fartura do Piauí (PI)","PI","2","2.645","75,6"
"Mar de Espanha (MG)","MG","5","6.614","75,6"
"Arroio do Sal (RS)","RS","4","5.293","75,6"
"Guaçuí (ES)","ES","12","15.880","75,6"
"Porto Feliz (SP)","SP","20","26.490","75,5"
"São Lourenço da Serra (SP)","SP","6","7.957","75,4"
"Divina Pastora (SE)","SE","2","2.653","75,4"
"Nova Prata do Iguaçu (PR)","PR","4","5.309","75,3"
"Santana da Boa Vista (RS)","RS","3","3.985","75,3"
"Contenda (PR)","PR","7","9.300","75,3"
"Laranja da Terra (ES)","ES","4","5.321","75,2"
"Castilho (SP)","SP","8","10.644","75,2"
"Guaíra (PR)","PR","13","17.299","75,1"
"Crateús (CE)","CE","29","38.594","75,1"
"Tamboara (PR)","PR","2","2.662","75,1"
"Rio Bonito do Iguaçu (PR)","PR","5","6.657","75,1"
"São José do Calçado (ES)","ES","4","5.326","75,1"
"Sertãozinho (PB)","PB","2","2.666","75,0"
"Tapira (PR)","PR","2","2.667","75,0"
"Santo Amaro da Imperatriz (SC)","SC","9","12.004","75,0"
"Orizânia (MG)","MG","3","4.002","75,0"
"Rancho Alegre D'Oeste (PR)","PR","1","1.334","75,0"
"Itaqui (RS)","RS","14","18.680","74,9"
"Ouroeste (SP)","SP","4","5.341","74,9"
"Rio Espera (MG)","MG","2","2.672","74,9"
"Dormentes (PE)","PE","7","9.353","74,8"
"Monte Castelo (SC)","SC","3","4.009","74,8"
"São Paulo (SP)","SP","4.871","6.510.997","74,8"
"Areiópolis (SP)","SP","4","5.347","74,8"
"Porangatu (GO)","GO","17","22.749","74,7"
"Landri Sales (PI)","PI","2","2.677","74,7"
"Maratá (RS)","RS","1","1.339","74,7"
"Florínea (SP)","SP","1","1.339","74,7"
"Rio Negrinho (SC)","SC","16","21.433","74,7"
"Celso Ramos (SC)","SC","1","1.340","74,6"
"São Luis do Piauí (PI)","PI","1","1.341","74,6"
"Orlândia (SP)","SP","17","22.801","74,6"
"Fervedouro (MG)","MG","4","5.365","74,6"
"Guariba (SP)","SP","15","20.141","74,5"
"Silvanópolis (TO)","TO","2","2.686","74,5"
"Lagoa de Velhos (RN)","RN","1","1.344","74,4"
"Aragominas (TO)","TO","2","2.688","74,4"
"Nova Candelária (RS)","RS","1","1.345","74,3"
"Queimadas (PB)","PB","17","22.880","74,3"
"Santa Tereza do Tocantins (TO)","TO","1","1.346","74,3"
"Santana do Mundaú (AL)","AL","4","5.388","74,2"
"Planalto (PR)","PR","5","6.743","74,2"
"Piraúba (MG)","MG","4","5.397","74,1"
"Baianópolis (BA)","BA","5","6.750","74,1"
"Campo Limpo de Goiás (GO)","GO","3","4.052","74,0"
"Simonésia (MG)","MG","7","9.456","74,0"
"Cruzeta (RN)","RN","3","4.053","74,0"
"Piumhi (MG)","MG","13","17.585","73,9"
"São João do Polêsine (RS)","RS","1","1.354","73,9"
"Roseira (SP)","SP","4","5.416","73,9"
"Mesquita (RJ)","RJ","69","93.427","73,9"
"São Sebastião (AL)","AL","13","17.607","73,8"
"Venturosa (PE)","PE","7","9.483","73,8"
"Viradouro (SP)","SP","7","9.484","73,8"
"Minador do Negrão (AL)","AL","2","2.711","73,8"
"Monte Azul Paulista (SP)","SP","7","9.497","73,7"
"General Salgado (SP)","SP","4","5.430","73,7"
"Brasília de Minas (MG)","MG","12","16.299","73,6"
"Guamaré (RN)","RN","6","8.154","73,6"
"Geminiano (PI)","PI","2","2.719","73,6"
"Derrubadas (RS)","RS","1","1.360","73,5"
"Sarandi (PR)","PR","37","50.356","73,5"
"Carmópolis de Minas (MG)","MG","7","9.535","73,4"
"Santo Antônio do Leverger (MT)","MT","6","8.174","73,4"
"Ipuã (SP)","SP","6","8.174","73,4"
"Paraty (RJ)","RJ","16","21.826","73,3"
"Barra do Ribeiro (RS)","RS","5","6.825","73,3"
"Juatuba (MG)","MG","10","13.656","73,2"
"Mairiporã (SP)","SP","37","50.578","73,2"
"Reserva do Cabaçal (MT)","MT","1","1.368","73,1"
"Medeiros Neto (BA)","BA","8","10.951","73,1"
"Nova Itarana (BA)","BA","3","4.108","73,0"
"Cajamar (SP)","SP","29","39.717","73,0"
"Manoel Ribas (PR)","PR","5","6.862","72,9"
"São Martinho (RS)","RS","2","2.745","72,9"
"Tapejara (PR)","PR","6","8.236","72,9"
"Presidente Bernardes (SP)","SP","5","6.871","72,8"
"Andradina (SP)","SP","21","28.866","72,7"
"Imbituva (PR)","PR","12","16.496","72,7"
"São José do Goiabal (MG)","MG","2","2.750","72,7"
"Irineópolis (SC)","SC","4","5.503","72,7"
"Juvenília (MG)","MG","2","2.754","72,6"
"Guaraci (SP)","SP","4","5.512","72,6"
"Barra de Santana (PB)","PB","3","4.136","72,5"
"Engenheiro Beltrão (PR)","PR","5","6.895","72,5"
"Itaara (RS)","RS","2","2.758","72,5"
"Cacimbinhas (AL)","AL","4","5.517","72,5"
"Andradas (MG)","MG","15","20.723","72,4"
"Bom Jardim (RJ)","RJ","10","13.820","72,4"
"Chopinzinho (PR)","PR","7","9.683","72,3"
"Itatuba (PB)","PB","4","5.540","72,2"
"Carapicuíba (SP)","SP","151","209.137","72,2"
"Barrolândia (TO)","TO","2","2.772","72,2"
"Jaguapitã (PR)","PR","5","6.932","72,1"
"Itatiaiuçu (MG)","MG","4","5.547","72,1"
"Sabino (SP)","SP","2","2.775","72,1"
"Clevelândia (PR)","PR","6","8.330","72,0"
"Palmeira dos Índios (AL)","AL","28","38.899","72,0"
"São José do Rio Preto (SP)","SP","175","243.247","71,9"
"Apucarana (PR)","PR","51","70.900","71,9"
"Porto União (SC)","SC","13","18.074","71,9"
"Jardim (CE)","CE","10","13.916","71,9"
"Santana de Parnaíba (SP)","SP","53","73.791","71,8"
"Mari (PB)","PB","8","11.152","71,7"
"Ouriçangas (BA)","BA","3","4.183","71,7"
"Porto Velho (RO)","RO","190","265.102","71,7"
"Aurora (SC)","SC","2","2.791","71,7"
"Presidente Lucena (RS)","RS","1","1.396","71,6"
"Sede Nova (RS)","RS","1","1.397","71,6"
"Fagundes (PB)","PB","4","5.589","71,6"
"Catanduvas (SC)","SC","4","5.589","71,6"
"Xambrê (PR)","PR","2","2.795","71,6"
"Prudente de Morais (MG)","MG","4","5.591","71,5"
"São Gonçalo (RJ)","RJ","413","577.954","71,5"
"Cotia (SP)","SP","94","131.719","71,4"
"Avaré (SP)","SP","33","46.249","71,4"
"Sobrália (MG)","MG","2","2.807","71,3"
"Curitiba (PR)","PR","734","1.030.647","71,2"
"Palhoça (SC)","SC","64","89.866","71,2"
"Araucária (PR)","PR","53","74.481","71,2"
"São Joaquim de Bicas (MG)","MG","10","14.055","71,1"
"Guararapes (SP)","SP","12","16.869","71,1"
"Pirassununga (SP)","SP","28","39.382","71,1"
"Viamão (RS)","RS","94","132.229","71,1"
"Cidade Ocidental (GO)","GO","27","37.998","71,1"
"Paracambi (RJ)","RJ","18","25.338","71,0"
"Arapuá (MG)","MG","1","1.408","71,0"
"Santa Fé do Sul (SP)","SP","12","16.897","71,0"
"Braúna (SP)","SP","2","2.821","70,9"
"São João d'Aliança (GO)","GO","5","7.062","70,8"
"Naviraí (MS)","MS","20","28.250","70,8"
"Jauru (MT)","MT","3","4.240","70,8"
"Itagibá (BA)","BA","5","7.078","70,6"
"Nova Hartz (RS)","RS","8","11.330","70,6"
"Jesuítas (PR)","PR","3","4.250","70,6"
"Trindade (PE)","PE","11","15.600","70,5"
"João Pessoa (PB)","PB","312","442.545","70,5"
"Siderópolis (SC)","SC","5","7.095","70,5"
"Cerro Negro (SC)","SC","1","1.420","70,4"
"Porto Belo (SC)","SC","8","11.360","70,4"
"Pirangi (SP)","SP","4","5.681","70,4"
"Pitangui (MG)","MG","10","14.214","70,4"
"Campina Grande (PB)","PB","154","218.973","70,3"
"Boituva (SP)","SP","22","31.291","70,3"
"Alvorada do Norte (GO)","GO","3","4.267","70,3"
"Bernardino de Campos (SP)","SP","4","5.693","70,3"
"Rancho Queimado (SC)","SC","1","1.424","70,2"
"Rio de Janeiro (RJ)","RJ","2.515","3.581.447","70,2"
"Barra de São Miguel (PB)","PB","2","2.849","70,2"
"Ribeirão Preto (SP)","SP","261","371.900","70,2"
"Lajinha (MG)","MG","7","9.979","70,1"
"Capitão Andrade (MG)","MG","2","2.853","70,1"
"Saltinho (SP)","SP","3","4.282","70,1"
"Tanabi (SP)","SP","9","12.846","70,1"
"Senador Rui Palmeira (AL)","AL","5","7.138","70,0"
"Feira de Santana (BA)","BA","232","331.296","70,0"
"Alecrim (RS)","RS","2","2.856","70,0"
"Esperança (PB)","PB","12","17.138","70,0"
"Alto Garças (MT)","MT","4","5.715","70,0"
"Rio Claro (SP)","SP","75","107.171","70,0"
"Cristal do Sul (RS)","RS","1","1.429","70,0"
"Morrinhos do Sul (RS)","RS","1","1.429","70,0"
"Três Ranchos (GO)","GO","1","1.430","69,9"
"Tietê (SP)","SP","15","21.458","69,9"
"Capela do Alto (SP)","SP","7","10.014","69,9"
"Cocal do Sul (SC)","SC","6","8.588","69,9"
"Jaupaci (GO)","GO","1","1.432","69,8"
"Serrana (SP)","SP","16","22.924","69,8"
"Cascalho Rico (MG)","MG","1","1.433","69,8"
"Tracunhaém (PE)","PE","5","7.166","69,8"
"Bragança Paulista (SP)","SP","61","87.476","69,7"
"Chorozinho (CE)","CE","7","10.040","69,7"
"Sebastião Laranjeiras (BA)","BA","4","5.738","69,7"
"Itaberá (SP)","SP","6","8.608","69,7"
"Hidrolândia (CE)","CE","7","10.046","69,7"
"Teresina (PI)","PI","327","469.739","69,6"
"Ipiranga de Goiás (GO)","GO","1","1.438","69,5"
"Encanto (RN)","RN","2","2.877","69,5"
"Poá (SP)","SP","43","61.893","69,5"
"Nazaré da Mata (PE)","PE","12","17.278","69,5"
"Tanque do Piauí (PI)","PI","1","1.440","69,4"
"Taboão da Serra (SP)","SP","108","155.540","69,4"
"Piedade de Caratinga (MG)","MG","3","4.324","69,4"
"Alto Caparaó (MG)","MG","2","2.883","69,4"
"Princesa (SC)","SC","1","1.442","69,3"
"Duque de Caxias (RJ)","RJ","334","481.890","69,3"
"Nova Lima (MG)","MG","35","50.531","69,3"
"Antônio Carlos (MG)","MG","4","5.775","69,3"
"Carmo da Mata (MG)","MG","4","5.776","69,3"
"Vista Gaúcha (RS)","RS","1","1.444","69,3"
"Matinhos (PR)","PR","13","18.780","69,2"
"São Pedro (RN)","RN","2","2.890","69,2"
"Araricá (RS)","RS","2","2.892","69,2"
"Hortolândia (SP)","SP","80","115.696","69,1"
"Guaimbê (SP)","SP","2","2.893","69,1"
"Tacuru (MS)","MS","4","5.791","69,1"
"Virgínia (MG)","MG","3","4.345","69,0"
"Jaboticatubas (MG)","MG","7","10.142","69,0"
"Realeza (PR)","PR","6","8.695","69,0"
"Candeias (MG)","MG","5","7.248","69,0"
"Capitólio (MG)","MG","3","4.349","69,0"
"Vargem Grande do Sul (SP)","SP","15","21.745","69,0"
"Manhumirim (MG)","MG","8","11.598","69,0"
"Herveiras (RS)","RS","1","1.450","69,0"
"Praia Grande (SP)","SP","121","175.608","68,9"
"Alfredo Chaves (ES)","ES","5","7.260","68,9"
"Balneário Gaivota (SC)","SC","4","5.811","68,8"
"Santa Leopoldina (ES)","ES","4","5.812","68,8"
"Limoeiro de Anadia (AL)","AL","10","14.535","68,8"
"Pedras de Fogo (PB)","PB","10","14.544","68,8"
"Cornélio Procópio (PR)","PR","17","24.731","68,7"
"Erechim (RS)","RS","38","55.287","68,7"
"Contagem (MG)","MG","239","347.875","68,7"
"Iomerê (SC)","SC","1","1.456","68,7"
"Custódia (PE)","PE","13","18.931","68,7"
"Atibaia (SP)","SP","51","74.279","68,7"
"Balneário Barra do Sul (SC)","SC","4","5.826","68,7"
"Lençóis Paulista (SP)","SP","24","34.972","68,6"
"Venda Nova do Imigrante (ES)","ES","9","13.122","68,6"
"Ferraz de Vasconcelos (SP)","SP","70","102.146","68,5"
"Upanema (RN)","RN","5","7.297","68,5"
"Cássia (MG)","MG","6","8.758","68,5"
"Caetanópolis (MG)","MG","4","5.842","68,5"
"Macuco (RJ)","RJ","2","2.921","68,5"
"Capivari de Baixo (SC)","SC","9","13.151","68,4"
"Paula Freitas (PR)","PR","2","2.923","68,4"
"Ibitinga (SP)","SP","21","30.724","68,4"
"Maceió (AL)","AL","380","556.238","68,3"
"Rio do Pires (BA)","BA","4","5.856","68,3"
"Serra do Mel (RN)","RN","4","5.857","68,3"
"Santa Rita do Araguaia (GO)","GO","3","4.394","68,3"
"Morada Nova de Minas (MG)","MG","3","4.395","68,3"
"Erebango (RS)","RS","1","1.465","68,3"
"Gravatal (SC)","SC","4","5.864","68,2"
"Almirante Tamandaré (PR)","PR","42","61.581","68,2"
"Andirá (PR)","PR","7","10.265","68,2"
"Fernando Prestes (SP)","SP","2","2.935","68,1"
"Figueirão (MS)","MS","1","1.469","68,1"
"Monte Alegre dos Campos (RS)","RS","1","1.469","68,1"
"Patrocínio Paulista (SP)","SP","5","7.348","68,0"
"Silvânia (GO)","GO","7","10.288","68,0"
"Pederneiras (SP)","SP","16","23.521","68,0"
"Jaqueira (PE)","PE","4","5.894","67,9"
"São Bernardo do Campo (SP)","SP","298","439.564","67,8"
"Bandeirantes (PR)","PR","11","16.235","67,8"
"Santa Izabel do Oeste (PR)","PR","5","7.381","67,7"
"Currais Novos (RN)","RN","16","23.631","67,7"
"Jaguaribara (CE)","CE","4","5.910","67,7"
"Bento de Abreu (SP)","SP","1","1.478","67,7"
"São Desidério (BA)","BA","11","16.276","67,6"
"São Sepé (RS)","RS","8","11.839","67,6"
"Serra (ES)","ES","184","272.400","67,5"
"Dobrada (SP)","SP","3","4.442","67,5"
"Lago dos Rodrigues (MA)","MA","3","4.445","67,5"
"Belterra (PA)","PA","6","8.895","67,5"
"Albertina (MG)","MG","1","1.483","67,4"
"Fernandópolis (SP)","SP","24","35.598","67,4"
"Abaíra (BA)","BA","3","4.454","67,4"
"Caratinga (MG)","MG","32","47.524","67,3"
"Silvianópolis (MG)","MG","2","2.972","67,3"
"Aracoiaba (CE)","CE","9","13.375","67,3"
"Alegrete (RS)","RS","25","37.164","67,3"
"Cafeara (PR)","PR","1","1.487","67,2"
"Florianópolis (SC)","SC","180","267.827","67,2"
"Marapoama (SP)","SP","1","1.490","67,1"
"Iperó (SP)","SP","12","17.890","67,1"
"Pedra do Anta (MG)","MG","1","1.491","67,1"
"Guanhães (MG)","MG","12","17.921","67,0"
"Alto Paraná (PR)","PR","5","7.471","66,9"
"Rio das Antas (SC)","SC","2","2.990","66,9"
"Arês (RN)","RN","5","7.477","66,9"
"Biritiba Mirim (SP)","SP","11","16.451","66,9"
"Botelhos (MG)","MG","5","7.480","66,8"
"São Sebastião da Amoreira (PR)","PR","3","4.488","66,8"
"Salto (SP)","SP","41","61.339","66,8"
"Bento Gonçalves (RS)","RS","42","62.836","66,8"
"Itaú (RN)","RN","2","2.993","66,8"
"Pinto Bandeira (RS)","RS","1","1.497","66,8"
"Boa Nova (BA)","BA","4","5.989","66,8"
"Laranjeiras do Sul (PR)","PR","11","16.471","66,8"
"Pará de Minas (MG)","MG","32","47.919","66,8"
"Westfália (RS)","RS","1","1.499","66,7"
"Mogi das Cruzes (SP)","SP","156","234.001","66,7"
"Dona Francisca (RS)","RS","1","1.501","66,6"
"Serafina Corrêa (RS)","RS","6","9.010","66,6"
"Bossoroca (RS)","RS","2","3.004","66,6"
"Várzea da Palma (MG)","MG","13","19.527","66,6"
"Lapão (BA)","BA","9","13.531","66,5"
"São Gonçalo do Gurguéia (PI)","PI","1","1.504","66,5"
"Teixeiras (MG)","MG","4","6.025","66,4"
"Amargosa (BA)","BA","13","19.594","66,3"
"Cândido Godói (RS)","RS","2","3.016","66,3"
"Ilhabela (SP)","SP","12","18.102","66,3"
"Santa Rosa de Viterbo (SP)","SP","9","13.582","66,3"
"Amorinópolis (GO)","GO","1","1.510","66,2"
"Itatiba do Sul (RS)","RS","1","1.510","66,2"
"Santa Lúcia (SP)","SP","3","4.531","66,2"
"Mococa (SP)","SP","23","34.739","66,2"
"Triunfo (RS)","RS","10","15.109","66,2"
"Frei Martinho (PB)","PB","1","1.511","66,2"
"Açucena (MG)","MG","3","4.535","66,2"
"Alegre (ES)","ES","10","15.123","66,1"
"Penedo (AL)","AL","22","33.318","66,0"
"Queimada Nova (PI)","PI","3","4.544","66,0"
"Lambari (MG)","MG","7","10.614","66,0"
"São Romão (MG)","MG","4","6.068","65,9"
"Guaiçara (SP)","SP","4","6.068","65,9"
"Quatro Barras (PR)","PR","8","12.138","65,9"
"Cambuí (MG)","MG","10","15.180","65,9"
"Jupi (PE)","PE","5","7.591","65,9"
"Ribeirão das Neves (MG)","MG","114","173.140","65,8"
"São Félix (BA)","BA","5","7.594","65,8"
"Prados (MG)","MG","3","4.557","65,8"
"Aratiba (RS)","RS","2","3.038","65,8"
"Guararema (SP)","SP","10","15.193","65,8"
"Solânea (PB)","PB","9","13.679","65,8"
"Murici dos Portelas (PI)","PI","3","4.565","65,7"
"Terra Nova do Norte (MT)","MT","3","4.568","65,7"
"São Vicente (SP)","SP","127","193.446","65,7"
"Garopaba (SC)","SC","8","12.193","65,6"
"Vinhedo (SP)","SP","27","41.152","65,6"
"Equador (RN)","RN","2","3.052","65,5"
"Independência (RS)","RS","2","3.052","65,5"
"Bicas (MG)","MG","5","7.633","65,5"
"São Borja (RS)","RS","20","30.539","65,5"
"Coqueiral (MG)","MG","3","4.583","65,5"
"São Jerônimo (RS)","RS","8","12.224","65,4"
"Vale Real (RS)","RS","2","3.056","65,4"
"Sete Lagoas (MG)","MG","82","125.348","65,4"
"Caieiras (SP)","SP","35","53.535","65,4"
"São Salvador do Tocantins (TO)","TO","1","1.530","65,4"
"Buritirana (MA)","MA","5","7.653","65,3"
"Ouro Verde do Oeste (PR)","PR","2","3.062","65,3"
"Palmeira das Missões (RS)","RS","11","16.844","65,3"
"São Francisco de Sales (MG)","MG","2","3.066","65,2"
"Muitos Capões (RS)","RS","1","1.533","65,2"
"Votuporanga (SP)","SP","32","49.062","65,2"
"Ouro Fino (MG)","MG","11","16.869","65,2"
"Maripá de Minas (MG)","MG","1","1.535","65,1"
"Bom Jesus (SC)","SC","1","1.535","65,1"
"Ouro Branco (MG)","MG","13","19.968","65,1"
"Santa Terezinha de Itaipu (PR)","PR","8","12.296","65,1"
"São Luís (MA)","MA","389","597.989","65,1"
"Valinhos (SP)","SP","44","67.639","65,1"
"Camalaú (PB)","PB","2","3.075","65,0"
"São José dos Ramos (PB)","PB","2","3.079","65,0"
"Monte Mor (SP)","SP","20","30.793","64,9"
"Cedro de São João (SE)","SE","2","3.080","64,9"
"Cordeirópolis (SP)","SP","8","12.327","64,9"
"Pendências (RN)","RN","5","7.706","64,9"
"Içara (SC)","SC","19","29.316","64,8"
"São Martinho (SC)","SC","1","1.543","64,8"
"Piraju (SP)","SP","10","15.432","64,8"
"Inaciolândia (GO)","GO","2","3.088","64,8"
"Juquiá (SP)","SP","6","9.269","64,7"
"Taquari (RS)","RS","9","13.908","64,7"
"Ituverava (SP)","SP","14","21.664","64,6"
"Governador Lindenberg (ES)","ES","4","6.191","64,6"
"Vera Cruz (RS)","RS","9","13.944","64,5"
"Irecê (BA)","BA","25","38.745","64,5"
"Barroso (MG)","MG","7","10.849","64,5"
"Lagoa Vermelha (RS)","RS","9","13.950","64,5"
"Bauru (SP)","SP","127","196.881","64,5"
"Rafard (SP)","SP","3","4.651","64,5"
"Craíbas (AL)","AL","8","12.403","64,5"
"Itapevi (SP)","SP","80","124.042","64,5"
"Curaçá (BA)","BA","11","17.057","64,5"
"Vargem Alta (ES)","ES","7","10.855","64,5"
"Fraiburgo (SC)","SC","12","18.622","64,4"
"Ibirá (SP)","SP","4","6.210","64,4"
"Chapada da Natividade (TO)","TO","1","1.554","64,4"
"Cambará do Sul (RS)","RS","2","3.109","64,3"
"Amambai (MS)","MS","13","20.217","64,3"
"Rio Bananal (ES)","ES","6","9.333","64,3"
"Cortês (PE)","PE","4","6.223","64,3"
"Cruzília (MG)","MG","5","7.780","64,3"
"Jandaia do Sul (PR)","PR","7","10.900","64,2"
"José da Penha (RN)","RN","2","3.115","64,2"
"Solonópole (CE)","CE","6","9.348","64,2"
"Cândido Sales (BA)","BA","8","12.471","64,1"
"Inajá (PR)","PR","1","1.559","64,1"
"Santa Adélia (SP)","SP","5","7.801","64,1"
"Itamonte (MG)","MG","5","7.802","64,1"
"Cananéia (SP)","SP","4","6.242","64,1"
"Alto Paraíso (RO)","RO","7","10.932","64,0"
"São Bento do Sul (SC)","SC","28","43.755","64,0"
"Pinhalzinho (SP)","SP","5","7.817","64,0"
"Itanhomi (MG)","MG","4","6.254","64,0"
"Indiara (GO)","GO","5","7.820","63,9"
"Vila Flor (RN)","RN","1","1.564","63,9"
"Ipaba (MG)","MG","6","9.389","63,9"
"Niterói (RJ)","RJ","177","277.071","63,9"
"Boa Ventura de São Roque (PR)","PR","2","3.131","63,9"
"Arujá (SP)","SP","30","46.988","63,8"
"Silveiras (SP)","SP","2","3.134","63,8"
"Inhuma (PI)","PI","5","7.842","63,8"
"Nazário (GO)","GO","3","4.707","63,7"
"Onça de Pitangui (MG)","MG","1","1.569","63,7"
"Canavieiras (BA)","BA","10","15.698","63,7"
"Espumoso (RS)","RS","5","7.851","63,7"
"Cafelândia (PR)","PR","6","9.422","63,7"
"Várzea Nova (BA)","BA","4","6.287","63,6"
"Panambi (RS)","RS","14","22.007","63,6"
"Taciba (SP)","SP","2","3.145","63,6"
"Cedral (SP)","SP","3","4.718","63,6"
"Monte Belo (MG)","MG","4","6.292","63,6"
"Itaperuna (RJ)","RJ","34","53.482","63,6"
"Alta Floresta D'Oeste (RO)","RO","7","11.013","63,6"
"Jurema (PE)","PE","5","7.874","63,5"
"Timóteo (MG)","MG","30","47.248","63,5"
"São Roque do Canaã (ES)","ES","4","6.301","63,5"
"Macaé (RJ)","RJ","84","132.445","63,4"
"Porto Alegre do Tocantins (TO)","TO","1","1.577","63,4"
"Caiçara do Norte (RN)","RN","2","3.157","63,4"
"Porto do Mangue (RN)","RN","2","3.157","63,4"
"Rubinéia (SP)","SP","1","1.579","63,3"
"Tururu (CE)","CE","5","7.905","63,3"
"Martinópolis (SP)","SP","8","12.657","63,2"
"São José do Egito (PE)","PE","11","17.432","63,1"
"Buriti Alegre (GO)","GO","3","4.757","63,1"
"Jeriquara (SP)","SP","1","1.586","63,1"
